Timestamp,Latitude,Longitude,Altitude,UTM Easting,UTM Northing,Zone,Letter,HDOP,GNGGA Read,Fix Quality,Current Time
1707594880.6151397,42.337250923333336,-71.08684884,0.0,328084.12483169767,4689330.97205947,19,T,8.6,"$GNGGA,172708.00,4220.2350554,N,07105.2109304,W,5,06,8.6,15.246,M,-28.727,M,1.0,0061*54
",5,1707604027.9999993
1707594881.6236944,42.337248753333334,-71.08684910666666,0.0,328084.09694913565,4689330.7316366825,19,T,8.6,"$GNGGA,172709.00,4220.2349252,N,07105.2109464,W,5,07,8.6,14.941,M,-28.727,M,2.0,0061*52
",5,1707604028.999999
1707594882.632172,42.337247258333335,-71.08684932166666,0.0,328084.0751625288,4689330.5660630325,19,T,8.6,"$GNGGA,172710.00,4220.2348355,N,07105.2109593,W,5,07,8.6,14.846,M,-28.727,M,1.0,0061*51
",5,1707604029.9999993
1707594883.6421895,45.67057938333333,-71.08684890666666,0.0,337455.0005644992,5059565.61531109,19,T,8.6,"$GNGGA,172711.00,4220.2347630,N,07105.2109344,W,5,07,8.6,14.550,M,-28.727,M,1.0,0061*5F
",5,1707604030.9999993
1707594884.6497538,42.33724512333333,-71.086848645,0.0,328084.12509096717,4689330.327619498,19,T,8.6,"$GNGGA,172712.00,4220.2347074,N,07105.2109187,W,5,06,8.6,14.267,M,-28.727,M,2.0,0061*56
",5,1707604031.9999995
1707594885.6572576,42.33724442333333,-71.08684918,0.0,328084.0791079215,4689330.250971505,19,T,8.6,"$GNGGA,172713.00,4220.2346654,N,07105.2109508,W,5,07,8.6,14.038,M,-28.727,M,1.0,0061*5B
",5,1707604032.9999993
1707594886.665881,42.33724364333333,-71.08684961166666,0.0,328084.04141988663,4689330.165231202,19,T,8.6,"$GNGGA,172714.00,4220.2346186,N,07105.2109767,W,5,07,8.6,13.757,M,-28.727,M,2.0,0061*55
",5,1707604033.9999993
1707594887.6745996,42.33724278,-71.08685042166667,0.0,328083.9723361224,4689330.071002286,19,T,8.6,"$GNGGA,172715.00,4220.2345668,N,07105.2110253,W,5,08,8.6,13.373,M,-28.727,M,1.0,0061*54
",5,1707604034.9999993
1707594888.6783712,42.33724200333333,-71.08685118166666,0.0,328083.9076077354,4689329.98629595,19,T,8.6,"$GNGGA,172716.00,4220.2345202,N,07105.2110709,W,5,08,8.6,13.020,M,-28.727,M,1.0,0061*50
",5,1707604036.0
1707594889.686777,42.33724142333333,-71.08685201,0.0,328083.8377857085,4689329.923566102,19,T,1.2,"$GNGGA,172717.00,4220.2344854,N,07105.2111206,W,1,06,1.2,12.624,M,-28.727,M,2.0,*52
",1,1707604036.999999
