Timestamp,Latitude,Longitude,Altitude,UTM Easting,UTM Northing,Zone,Letter,HDOP,GNGGA Read,Fix Quality,Current Time
1707595158.2321012,42.33811891333333,-71.086592055,0.0,328107.6449135308,4689426.836591646,19,T,1.0,"$GNGGA,170212.00,4220.2871348,N,07105.1955233,W,5,14,1.0,28.418,M,-28.726,M,1.0,0061*52
",5,1707602531.9999995
1707595159.2780921,42.338125803333334,-71.086586515,0.0,328108.1200888073,4689427.59047423,19,T,1.0,"$GNGGA,170213.00,4220.2875482,N,07105.1951909,W,5,15,1.0,28.267,M,-28.726,M,1.0,0061*5F
",5,1707602532.9999993
1707595160.4489174,42.33813378833333,-71.08657675333333,0.0,328108.9460407584,4689428.457413968,19,T,1.0,"$GNGGA,170214.00,4220.2880273,N,07105.1946052,W,5,15,1.0,27.920,M,-28.726,M,1.0,0061*5C
",5,1707602533.999999
1707595161.6199505,42.338137795,-71.08657154,0.0,328109.38644756953,4689428.891784813,19,T,1.2,"$GNGGA,170215.00,4220.2882677,N,07105.1942924,W,5,16,1.2,27.539,M,-28.726,M,2.0,0061*55
",5,1707602534.9999993
1707595162.8746712,42.33814477,-71.08656489666667,0.0,328109.95274991053,4689429.652875688,19,T,1.1,"$GNGGA,170216.00,4220.2886862,N,07105.1938938,W,5,14,1.1,27.839,M,-28.725,M,1.0,0061*54
",5,1707602535.9999993
1707595164.0458493,42.338147903333336,-71.08655736333333,0.0,328110.5819052184,4689429.985579645,19,T,1.6,"$GNGGA,170217.00,4220.2888742,N,07105.1934418,W,5,14,1.6,27.323,M,-28.725,M,2.0,0061*51
",5,1707602536.9999993
1707595165.217698,42.33815380666667,-71.08654989166666,0.0,328111.2135277823,4689430.625995708,19,T,1.0,"$GNGGA,170218.00,4220.2892284,N,07105.1929935,W,5,16,1.0,26.909,M,-28.725,M,1.0,0061*50
",5,1707602537.9999993
1707595166.3890998,45.6714918,-71.08654334333333,0.0,337481.4425853272,5059666.363385457,19,T,1.1,"$GNGGA,170219.00,4220.2895080,N,07105.1926006,W,5,16,1.1,26.512,M,-28.725,M,2.0,0061*52
",5,1707602538.9999998
1707595167.5597627,42.338164715,-72.7532042,0.0,685090.3366506423,4689768.229633907,18,T,1.0,"$GNGGA,170220.00,4220.2898829,N,07105.1922520,W,5,15,1.0,26.658,M,-28.725,M,1.0,0061*57
",5,1707602539.9999993
1707595168.7301886,42.33816997666667,-71.08653126333333,0.0,328112.7922423238,4689432.383893686,19,T,1.0,"$GNGGA,170221.00,4220.2901986,N,07105.1918758,W,5,16,1.0,26.647,M,-28.725,M,2.0,0061*59
",5,1707602540.9999993
1707595169.9874458,42.33817562833333,-71.086525155,0.0,328113.3108634831,4689432.999120237,19,T,1.0,"$GNGGA,170222.00,4220.2905377,N,07105.1915093,W,5,16,1.0,26.470,M,-28.725,M,1.0,0061*52
",5,1707602541.999999
1707595171.2418098,42.33818131833333,-71.086518835,0.0,328113.84702669934,4689433.618175571,19,T,1.0,"$GNGGA,170223.00,4220.2908791,N,07105.1911301,W,5,17,1.0,26.581,M,-28.725,M,1.0,0061*50
",5,1707602542.999999
1707595172.4983547,42.33818712833333,-71.08651164,0.0,328114.4556017617,4689434.248787231,19,T,1.0,"$GNGGA,170224.00,4220.2912277,N,07105.1906984,W,5,17,1.0,26.746,M,-28.725,M,2.0,0061*5A
",5,1707602543.9999995
1707595173.7531712,42.33819307833333,-71.08650472666666,0.0,328115.0413536823,4689434.895514258,19,T,1.0,"$GNGGA,170225.00,4220.2915847,N,07105.1902836,W,5,16,1.0,26.915,M,-28.725,M,1.0,0061*53
",5,1707602544.9999993
1707595174.9261923,42.338198295,-71.086497635,0.0,328115.63979898265,4689435.460449759,19,T,1.0,"$GNGGA,170226.00,4220.2918977,N,07105.1898581,W,5,16,1.0,26.586,M,-28.725,M,1.0,0061*5A
",5,1707602545.999999
1707595176.0969372,42.33820330333333,-71.08649112166667,0.0,328116.19003182766,4689436.003420553,19,T,0.9,"$GNGGA,170227.00,4220.2921982,N,07105.1894673,W,5,17,0.9,26.236,M,-28.725,M,2.0,0061*5F
",5,1707602546.999999
1707595177.2678225,42.33820976166667,-71.08648421166667,0.0,328116.7768938804,4689436.706601,19,T,0.9,"$GNGGA,170228.00,4220.2925857,N,07105.1890527,W,5,16,0.9,26.450,M,-28.725,M,1.0,0061*5F
",5,1707602547.9999993
1707595178.4376082,42.33821566,-71.086476775,0.0,328117.40561827377,4689437.346533131,19,T,0.9,"$GNGGA,170229.00,4220.2929396,N,07105.1886065,W,5,17,0.9,26.143,M,-28.725,M,2.0,0061*55
",5,1707602548.9999993
1707595179.6087666,42.338221635,-71.08646975833334,0.0,328117.99995067366,4689437.995827568,19,T,0.9,"$GNGGA,170230.00,4220.2932981,N,07105.1881855,W,5,17,0.9,26.026,M,-28.725,M,1.0,0061*56
",5,1707602549.9999993
1707595180.7795098,42.338227563333334,-71.08646243166666,0.0,328118.61969447683,4689438.639313434,19,T,0.9,"$GNGGA,170231.00,4220.2936538,N,07105.1877459,W,5,15,0.9,25.872,M,-28.725,M,2.0,0061*5F
",5,1707602550.9999995
1707595181.9505749,42.33823340666667,-71.08645488,0.0,328119.25774269225,4689439.272905928,19,T,1.0,"$GNGGA,170232.00,4220.2940044,N,07105.1872928,W,5,13,1.0,25.747,M,-28.725,M,1.0,0061*59
",5,1707602551.9999995
