Timestamp,Latitude,Longitude,Altitude,UTM Easting,UTM Northing,Zone,Letter,HDOP,GNGGA Read,Fix Quality,Current Time
1707595274.8957002,42.33824645166667,-71.08650596333334,0.0,328115.0849004476,4689440.824716095,19,T,0.8,"$GNGGA,165019.00,4220.2947871,N,07105.1903578,W,5,19,0.8,24.960,M,-28.725,M,1.0,0061*58
",5,1707601818.9999995
1707595276.151247,42.33824640666667,-71.08650607833333,0.0,328115.07530381967,4689440.819951656,19,T,0.8,"$GNGGA,165020.00,4220.2947844,N,07105.1903647,W,5,19,0.8,24.908,M,-28.725,M,1.0,0061*55
",5,1707601819.9999995
1707595277.4068065,45.671579683333334,-72.75317285,0.0,675002.4746847479,5060014.003299994,18,T,0.8,"$GNGGA,165021.00,4220.2947810,N,07105.1903710,W,5,19,0.8,24.800,M,-28.725,M,2.0,0061*5C
",5,1707601820.999999
1707595278.6609302,42.33824633166667,-71.08650625833333,0.0,328115.0602705717,4689440.811987343,19,T,0.8,"$GNGGA,165022.00,4220.2947799,N,07105.1903755,W,5,20,0.8,24.661,M,-28.725,M,1.0,0061*50
",5,1707601821.9999995
1707595279.9176092,42.338246201666664,-71.08650630666666,0.0,328115.0559345281,4689440.797649538,19,T,0.8,"$GNGGA,165023.00,4220.2947721,N,07105.1903784,W,5,20,0.8,24.513,M,-28.725,M,1.0,0061*58
",5,1707601822.9999993
1707595281.1740189,42.338245891666666,-71.08650639166666,0.0,328115.04808733263,4689440.763398226,19,T,0.8,"$GNGGA,165024.00,4220.2947535,N,07105.1903835,W,5,20,0.8,24.176,M,-28.725,M,2.0,0061*59
",5,1707601823.9999993
1707595282.4295766,42.338245801666666,-72.75317315,0.0,685092.6567306428,4689777.30137453,18,T,0.8,"$GNGGA,165025.00,4220.2947481,N,07105.1903890,W,5,20,0.8,24.053,M,-28.725,M,1.0,0061*5C
",5,1707601824.9999995
1707595283.6841629,42.338245756666666,-71.08650657666666,0.0,328115.0324786892,4689440.748781478,19,T,0.8,"$GNGGA,165026.00,4220.2947454,N,07105.1903946,W,5,20,0.8,23.922,M,-28.725,M,1.0,0061*55
",5,1707601825.999999
1707595284.9383392,45.671579066666666,-71.08650652,0.0,337484.56336181425,5059675.983859478,19,T,0.8,"$GNGGA,165027.00,4220.2947440,N,07105.1903912,W,5,20,0.8,23.896,M,-28.725,M,1.0,0061*5E
",5,1707601826.9999995
1707595286.195509,42.33824559833333,-71.08650645833333,0.0,328115.0417959009,4689440.73096056,19,T,0.8,"$GNGGA,165028.00,4220.2947359,N,07105.1903875,W,5,20,0.8,23.850,M,-28.725,M,1.0,0061*54
",5,1707601827.9999993
