%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gpgga_read,field.current_time,,,,,,,,actual.altitude,,,,,
1.70671294071987E+018,332,1.70671294071517E+018,,42.0057458333333,-71.0848205,0,327351.612969283,4652516.69484294,19,T,1.56,$GPGGA,145537,4220.34475,N,7105.08923,W,2,7,1.56,1.1,M,-33.2,M,,0000*60
,1.706730937E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671294172756E+018,333,1.706712941723E+018,,42.0057465,-71.0848208333333,0,327351.587167279,4652516.76953995,19,T,1.56,$GPGGA,145538,4220.34479,N,7105.08925,W,2,7,1.56,1.5,M,-33.2,M,,0000*61
,1.706730938E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671294273514E+018,334,1.7067129427307E+018,,42.0057443333333,-71.0848193333333,0,327351.705530456,4652516.52593406,19,T,1.56,$GPGGA,145539,4220.34466,N,7105.08916,W,2,7,1.56,1.7,M,-33.2,M,,0000*6C
,1.706730939E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671294374323E+018,335,1.70671294373855E+018,,42.0057421666667,-71.0848171666667,0,327351.879104304,4652516.28098317,19,T,1.56,$GPGGA,145540,4220.34453,N,7105.08903,W,2,8,1.56,1.8,M,-33.2,M,,0000*60
,1.70673094E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671294474862E+018,336,1.70671294474588E+018,,42.0057435,-71.0848171666667,0,327351.882710946,4652516.42903219,19,T,1.49,$GPGGA,145541,4220.34461,N,7105.08903,W,2,8,1.49,2.1,M,-33.2,M,,0000*64
,1.706730941E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671294575792E+018,337,1.70671294575362E+018,,42.0057508333333,-71.0848173333333,0,327351.888744815,4652517.24363803,19,T,1.49,$GPGGA,145542,4220.34505,N,7105.08904,W,2,8,1.49,3.2,M,-33.2,M,,0000*61
,1.706730942E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671294676321E+018,338,1.7067129467605E+018,,42.0057538333333,-71.0848178333333,0,327351.855451774,4652517.57775706,19,T,1.49,$GPGGA,145543,4220.34523,N,7105.08907,W,2,9,1.49,4.1,M,-33.2,M,,0000*62
,1.706730943E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671294777303E+018,339,1.70671294776848E+018,,42.0057603333333,-71.0848198333333,0,327351.707402229,4652518.30353101,19,T,1.49,$GPGGA,145544,4220.34562,N,7105.08919,W,2,8,1.49,5,M,-33.2,M,,0000*6E
,1.706730944E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671294878086E+018,340,1.7067129487764E+018,,42.3390933333333,-71.0848193333333,0,328256.33976268,4689531.4563708,19,T,1.49,$GPGGA,145545,4220.3456,N,7105.08916,W,2,8,1.49,5.1,M,-33.2,M,,0000*63
,1.706730945E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671294978644E+018,341,1.70671294978346E+018,,42.005753,-71.084818,0,327351.839394959,4652517.48556268,19,T,1.49,$GPGGA,145546,4220.34518,N,7105.08908,W,2,8,1.49,6.9,M,-33.2,M,,0000*6B
,1.706730946E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671295079595E+018,342,1.70671295079142E+018,,42.0057601666667,-71.0848191666667,0,327351.762162042,4652518.28367989,19,T,1.49,$GPGGA,145547,4220.34561,N,7105.08915,W,2,8,1.49,7.1,M,-33.2,M,,0000*61
,1.706730947E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.7067129518039E+018,343,1.70671295179938E+018,,42.0057623333333,-71.0848181666667,0,327351.850838809,4652518.52224205,19,T,1.49,$GPGGA,145548,4220.34574,N,7105.08909,W,2,9,1.49,7.3,M,-33.2,M,,0000*64
,1.706730948E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671295280922E+018,344,1.70671295280633E+018,,42.0057643333333,-71.0848186666667,0,327351.814840795,4652518.74532432,19,T,2.51,$GPGGA,145549,4220.34586,N,7105.08912,W,2,8,2.51,7.4,M,-33.2,M,,0000*6E
,1.706730949E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671295382645E+018,345,1.70671295381436E+018,,42.0057643333333,-71.0848195,0,327351.745827493,4652518.74700556,19,T,1.49,$GPGGA,145550,4220.34586,N,7105.08917,W,2,9,1.49,7.4,M,-33.2,M,,0000*68
,1.70673095E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671295482707E+018,346,1.7067129548224E+018,,42.0057656666667,-71.084821,0,327351.625210198,4652518.89808082,19,T,1.49,$GPGGA,145551,4220.34594,N,7105.08926,W,2,8,1.49,7.4,M,-33.2,M,,0000*69
,1.706730951E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.7067129558349E+018,347,1.70671295583031E+018,,42.0057653333333,-71.0848206666667,0,327351.651913858,4652518.86039607,19,T,1.49,$GPGGA,145552,4220.34592,N,7105.08924,W,2,9,1.49,7.9,M,-33.2,M,,0000*62
,1.706730952E+018,,,,,,,,,,,,,,,,,,,,,,,,,
1.70671295684267E+018,348,1.70671295683825E+018,,42.0057643333333,-71.0848185,0,327351.828643455,4652518.74498807,19,T,1.49,$GPGGA,145553,4220.34586,N,7105.08911,W,2,9,1.49,8.2,M,-33.2,M,,0000*64
,1.706730953E+018,,,,,,,,,,,,,,,,,,,,,,,,,
